algorithm_name,evaluations,mean,min,max,median,std,geometric_mean
RandomSearch,1.0,25.37419626478,0.3381781111,87.29257597,18.7773250563,26.654265673802346,11.502018372188767
RandomSearch,2.0,16.54748585314,0.3381781111,65.8452508651,16.6375745911,16.943186158717523,7.78976290607917
RandomSearch,3.0,13.520373461526667,0.3381781111,63.2635624422,7.6329523355,16.508956324921737,6.14694158841299
RandomSearch,4.0,8.4873648892,0.3381781111,49.3005667017,5.1561318278,12.440691134151916,3.823310539129448
RandomSearch,5.0,4.720135515053332,0.3381781111,17.4605156257,3.8073503008,4.806446211476766,2.8843708992589354
RandomSearch,6.0,4.562541593293332,0.3381781111,17.4605156257,3.8073503008,4.749120587606495,2.811844292473077
RandomSearch,7.0,4.365324287899999,0.3381781111,17.4605156257,2.9013190535,4.841816568211401,2.549034931662622
RandomSearch,9.0,2.4608431326266667,0.3381781111,7.2586963891,1.8653159154,2.0322031039970536,1.7030578249654973
RandomSearch,10.0,2.195116015853334,0.3381781111,7.2586963891,1.1419045605,1.9852196470197634,1.4961367675888084
RandomSearch,11.0,2.1494421881866668,0.3381781111,7.2586963891,1.1419045605,1.9756696780313219,1.4695093215258777
RandomSearch,13.0,1.8764338923000001,0.3381781111,6.4796390166,1.1419045605,1.6757619600763036,1.3503589663744642
RandomSearch,15.0,1.7471870855466667,0.3381781111,4.5409369153,1.1419045605,1.33561120152905,1.318728957883885
RandomSearch,17.0,1.6903743642933335,0.0439846987,4.1384878772,1.1419045605,1.313898313851048,1.1154659152471742
RandomSearch,20.0,1.6580646590800003,0.0439846987,4.1384878772,1.0471925892,1.3341517481435354,1.0751360372749006
RandomSearch,23.0,1.5969243968866669,0.0439846987,4.1384878772,1.0471925892,1.310034649121904,1.0440027388932094
RandomSearch,27.0,1.5709338847,0.0439846987,4.1384878772,1.0471925892,1.2699653253499321,1.0361365117440462
RandomSearch,31.0,1.2336675727933335,0.0439846987,4.1384878772,0.8811036262,1.1686310679213523,0.7523852131159497
RandomSearch,35.0,1.17639038086,0.0439846987,4.1384878772,0.8811036262,1.2070684430866765,0.6443067379866938
RandomSearch,41.0,1.1109855664266668,0.0439846987,4.1384878772,0.8811036262,1.1727944505042116,0.6196783499766966
RandomSearch,47.0,0.9551803546266666,0.0439846987,2.8909735781,0.8811036262,0.8746467822599773,0.5522661242549626
RandomSearch,54.0,0.7727363242333334,0.0439846987,2.4761190741,0.6019415992,0.7233580936685675,0.4466239164137576
RandomSearch,62.0,0.5572730756733334,0.0439846987,1.5256788345,0.4034561624,0.4483727469486856,0.370701196614554
RandomSearch,71.0,0.5395976883333333,0.0439846987,1.5256788345,0.3381781111,0.45809765578549577,0.3482507806335951
RandomSearch,81.0,0.4919666253533333,0.0439846987,1.322388188,0.3381781111,0.40881284135912277,0.3287773854192266
RandomSearch,93.0,0.4919666253533333,0.0439846987,1.322388188,0.3381781111,0.40881284135912277,0.3287773854192266
RandomSearch,107.0,0.4919666253533333,0.0439846987,1.322388188,0.3381781111,0.40881284135912277,0.3287773854192266
RandomSearch,123.0,0.4412842545066667,0.0439846987,1.322388188,0.3381781111,0.3772590604169503,0.304967165399486
RandomSearch,141.0,0.37017900459333336,0.0439846987,1.322388188,0.1655442064,0.3824210481157437,0.2250848354107555
RandomSearch,162.0,0.3676972188333334,0.0439846987,1.322388188,0.1655442064,0.38424079688512797,0.21985220990818086
RandomSearch,186.0,0.24991526115333332,0.0288368794,1.2397783051,0.1629623992,0.3135367527545524,0.14380993492431327
RandomSearch,213.0,0.23956131468666664,0.0288368794,1.2152065926,0.1629623992,0.3036194089630983,0.1403954162780222
RandomSearch,245.0,0.16613982642,0.0288368794,0.5078834687,0.160309794,0.14829960740310635,0.11815174697744525
RandomSearch,281.0,0.12142844984666668,0.0288368794,0.4783761603,0.0806979792,0.11895460621455713,0.08759139358280378
RandomSearch,323.0,0.11675752864666668,0.0288368794,0.4783761603,0.0806979792,0.11845947682840187,0.08444417961315563
RandomSearch,370.0,0.10711443982,0.0288368794,0.4783761603,0.0806979792,0.11111965499919756,0.08013507358834494
RandomSearch,425.0,0.08010812524666668,0.0036469022,0.1655442064,0.0806979792,0.050827062343521585,0.056989832245962435
RandomSearch,488.0,0.06872605247333334,0.0036469022,0.1395025366,0.0685963845,0.04246932012476472,0.04778723874438876
RandomSearch,560.0,0.06872605247333334,0.0036469022,0.1395025366,0.0685963845,0.04246932012476472,0.04778723874438876
RandomSearch,643.0,0.05829997383333333,0.0036469022,0.1203923787,0.0600376563,0.03888572967655927,0.03916393467919352
RandomSearch,738.0,0.05829997383333333,0.0036469022,0.1203923787,0.0600376563,0.03888572967655927,0.03916393467919352
RandomSearch,846.0,0.052513254626666665,0.0036469022,0.1203923787,0.049588014,0.03936139901329633,0.03345220688088083
